,registry_id,fac_name,fac_lat,fac_long,fac_percent_minority,fac_pop_den,fac_days_last_inspection,fac_curr_compliance_status,fac_curr_snc_flg,tri_releases_transfers,fac_map_flg
0,110000307739,ADM ALLIANCE NUTRITION OF PR LLC,18.485142,-66.77731899999999,99.241,2391.45,9097.0,No Violation,N,8.0,Y
1,110000307757,COMPANIA CERVECERA DE PUERTO RICO INC,18.206944,-67.141667,99.303,3050.64,1195.0,In Violation,N,38157.0,Y
3,110000307800,PREPA - AGUIRRE POWER GENERATION COMPLEX,17.9493,-66.2317,99.689,634.54,472.0,In Violation,N,440897.0,Y
6,110000307864,HOVENSA LLC LIMETREE BAY REFINERY,17.7102,-64.7544,0.0,0.0,87.0,In Violation,Y,13242.0,Y
7,110000307891,HP HOOD LLC - AGAWAM PLANT,42.08469,-72.61896999999999,47.091,3277.34,11422.0,No Violation,N,0.0,Y
9,110000307935,ASHLAND HERCULES WATER TECHNOLOGIES,42.181944,-72.609167,35.882,3432.99,206.0,No Violation,N,2049.0,Y
10,110000307953,CALLAWAY GOLF BALL OPERATIONS INC,42.17525,-72.61289000000001,36.342,3327.3,263.0,No Violation,N,88958.0,Y
11,110000307980,RANDOLPH PRODUCTS CO,42.15333,-72.33028,5.756,417.53,341.0,No Violation,N,6254.0,Y
12,110000308006,LENOX/AMERICAN SAW & MANUFACTURING,42.05325,-72.52331,28.779,2043.29,515.0,No Violation,N,113813.0,Y
13,110000308024,U.S. TSUBAKI POWER TRANSMISSION LLC - ROLLER CHAIN DIVISION,42.191082,-72.61989100000001,36.817,2978.13,697.0,No Violation,N,47029.0,Y
14,110000308060,HAZEN PAPER CO,42.19209,-72.60972,36.435,3103.73,114.0,No Violation,N,20153.0,Y
16,110000308104,LAMINATING COATING TECHNOLOGIES INC.,42.120298999999996,-72.307873,5.215,303.73,1243.0,No Violation,N,47301.0,Y
17,110000308131,CHEMIPLASTICA THERMOSET PLASTICS PLANT,42.329885,-72.674449,15.892999999999999,1020.73,402.0,In Violation,N,698.0,Y
18,110000308186,QUABBIN WIRE & CABLE CO INC,42.25848,-72.2396,7.957999999999999,327.47,2228.0,In Violation,N,4317.0,Y
19,110000308211,WESTFIELD ELECTROPLATING CO,42.131045,-72.74453000000001,12.595,1273.63,467.0,In Violation,N,41467.0,Y
20,110000308220,FOUNTAIN PLATING CO,42.15478,-72.6502,25.953000000000003,1697.85,81.0,No Violation,N,54385.0,Y
21,110000308239,AGRI-MARK INC.,42.13065,-72.627313,44.598,3217.5,781.0,No Violation,N,96762.0,Y
22,110000308284,UTILITY MANUFACTURING CO,42.14908,-72.44666,20.613000000000003,1214.67,7012.0,No Violation,N,12.0,Y
23,110000308293,SMITH & WESSON,42.135909999999996,-72.55086,55.706,3987.5,501.0,No Violation,N,858905.0,Y
24,110000308328,DONCASTERS STORMS FORGE,42.13927,-72.53860999999999,53.88,3579.31,1628.0,No Violation,N,22112.0,Y
25,110000308408,POLY METAL FINISHING INC,42.09661,-72.56221,60.273,5011.61,794.0,No Violation,N,15.0,Y
26,110000308417,LUSTER-ON PRODUCTS INC,42.10985,-72.56132,61.842,5204.43,1705.0,No Violation,N,0.0,Y
27,110000308435,SOLUTIA CHEMICAL MANUFACTURING PLANT,42.154981,-72.52641899999999,39.953,2489.59,432.0,In Violation,N,5975706.0,Y
28,110000308480,PITTSFIELD GENERATING POWER PLANT,42.454879999999996,-73.21734000000001,14.626,1513.86,94.0,In Violation,N,20644.0,Y
29,110000308499,HOLLAND COMPANY,42.65334,-73.1104,6.569,422.64,1977.0,No Violation,N,1.0,Y
30,110000308523,SPECIALTY MINERALS INC.,42.6432,-73.1135,3.987,329.91,467.0,In Violation,N,1346.0,Y
31,110000308569,BETE FOG NOZZLE INC.,42.619163,-72.558105,9.085,619.46,2706.0,No Violation,N,15239.0,Y
32,110000308603,LS STARRETT PRECISION TOOLS,42.595325,-72.22670699999999,7.013999999999999,437.37,1104.0,No Violation,N,22347.0,Y
33,110000308612,ERVING PAPER MILLS,42.60008,-72.37838,5.8870000000000005,47.42,824.0,In Violation,N,1.0,Y
35,110000308630,RODNEY HUNT CO,42.5892,-72.3043,6.582000000000001,298.79,319.0,In Violation,N,78523.0,Y
36,110000308649,JUDD WIRE INC,42.58865,-72.55759,10.166,773.08,873.0,No Violation,N,348993.0,Y
37,110000308685,SIMONDS INTERNATIONAL CORP,42.56985,-71.7741,28.511,1998.06,3853.0,No Violation,N,4817.0,Y
38,110000308694,OMNOVA SOLUTIONS PERFORMANCE CHEMICALS MANUFACTURING FACILITY,42.552184999999994,-71.84844,23.267,723.84,1151.0,No Violation,N,1574.0,Y
39,110000308710,VITASOY USA,42.561820000000004,-71.53375,12.295,582.85,3727.0,No Violation,N,40683.0,Y
40,110000308809,ALPHAGARY CORP,42.53286,-71.70806,26.113000000000003,1060.75,34.0,No Violation,N,2033.0,Y
41,110000308818,ALPHA WIRE CO,42.54914,-71.74513,25.9,1561.82,578.0,No Violation,N,146547.0,Y
42,110000308827,MONSON CHEMICAL DISTRIBUTION,42.531335,-71.70967900000001,26.276,1079.48,241.0,No Violation,N,792.0,Y
43,110000308854,HUDSON COLOR CONCENTRATES,42.501819,-71.738031,24.524,1152.33,997.0,No Violation,N,75.0,Y
44,110000308863,S&E SPECIALTY POLYMERS LLC,42.536041,-71.704031,25.178,910.47,871.0,No Violation,N,6297.0,Y
45,110000308872,ASTRON INC,42.674409999999995,-71.56659,5.428999999999999,441.79,2561.0,No Violation,N,96820.0,Y
47,110000308890,ADVANCE COATINGS CO,42.552405,-71.869697,15.144,498.81,738.0,No Violation,N,9166.0,Y
48,110000308916,KADANT SOLUTIONS DIV,42.22348,-71.82847,43.81100000000001,3397.1,3335.0,No Violation,N,7300.0,Y
49,110000308934,INNER-TITE CORP.,42.33718,-71.84321,13.033,1077.6,5693.0,No Violation,N,6771.0,Y
50,110000308943,CLARIANT MASTERBATCHES DIVISION,42.340709999999994,-71.844937,12.610999999999999,1020.24,1164.0,No Violation,N,6882.0,Y
51,110000308970,UNITED COUNTY IND DBA COUNTY HEAT TREAT,42.19595,-71.75834,13.232999999999999,953.29,1462.0,No Violation,N,1.0,Y
52,110000308989,LEWCOTT CORPORATION,42.18541,-71.74381,7.994,842.16,11.0,No Violation,N,54490.0,Y
53,110000309014,QUABAUG RUBBER CO,42.26872,-72.08393000000001,4.236000000000001,195.49,416.0,No Violation,N,14014.0,Y
54,110000309050,SUPERCON WIRE,42.27661,-71.68876,23.259,1297.0,2140.0,No Violation,N,148073.0,Y
55,110000309078,DEXTER RUSSELL INC,42.08235,-72.03833,27.156,731.95,4924.0,No Violation,N,1378.0,Y
56,110000309121,GE OSMONICS,42.275271999999994,-71.57388900000001,19.291,735.34,1138.0,No Violation,N,184580.0,Y
57,110000309167,MADISON CABLE CORP,42.25213,-71.86531,38.957,2773.17,1503.0,No Violation,N,7583.0,Y
58,110000309176,FLEXOGRAPHIC INC,42.25905,-71.79217,42.489,5459.33,1314.0,No Violation,N,7590.0,Y
59,110000309210,SAINT GOBAIN PERFORMANCE PLASTICS,42.30135,-71.76264,33.961,2835.83,1503.0,No Violation,N,4029.0,Y
60,110000309229,L & J OF NEW ENGLAND INC,42.28164,-71.80691,42.425,5503.87,2705.0,No Violation,N,16985.0,Y
61,110000309238,BODYCOTE THERMAL PROCESSING,42.282794,-71.805903,42.36600000000001,5484.21,1110.0,No Violation,N,1819.0,Y
62,110000309274,KOMTEK TECHNOLOGIES,42.31326,-71.79835,30.279,2608.04,751.0,In Violation,N,71714.0,Y
